,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Site ID,Name,Lat (N),Long (W),Team,Notes,,,,,,,,,,,,,,,,,,,,,,
,1,North Fork  @ Cannon Bridge,35.748549,82.006032,,Site dropped for 201811 assessments,,,,,,,,,,,,,,,,,,,,,,
,2,White Creek above Rt. 126,35.797993,81.864262,,Path by old bridge along Hwy 126,,,,,,,,,,,,,,,,,,,,,,
,3,Paddy's Creek in State Park,35.753282,81.894616,,Just off OMVT access just west of bridge,,,,,,,,,,,,,,,,,,,,,,
,4,Linville River @ Griffin Cottage,35.798017,81.893763,,Notify Lisa Griffin in advance,,,,,,,,,,,,,,,,,,,,,,
,5,North Fork - American Thread Rd.,35.800619,82.018966,,,,,,,,,,,,,,,,,,,,,,,,
,6,North Fork @ Old North Cove School Rd.,35.839143,81.987917,,,,,,,,,,,,,,,,,,,,,,,,
,7,Catawba @ Old Fort Park,35.618458,81.199639,,,,,,,,,,,,,,,,,,,,,,,,
,8,Catawba @ Parker Padgett Rd,35.637042,82.144816,,,,,,,,,,,,,,,,,,,,,,,,
,9,Upper Mill @ Andrews Geyser,35.670667,82.70650,,,,,,,,,,,,,,,,,,,,,,,,
,10,Mill Creek near Old Fort ,35.628335,82.18567,,,,,,,,,,,,,,,,,,,,,,,,
,11,Curtis Creek off Curtis Creek Rd,35.654689,82.171567,,Access via fishers' trail off Curtis Creek Rd,,,,,,,,,,,,,,,,,,,,,,
,12,Crooked Creek @ Bat Cave Rd.,35.571538,82.186067,,Access via bridge abutment,,,,,,,,,,,,,,,,,,,,,,
,13,Crooked Creek @ McHone Dr.,35.642657,82.11491,,Cleared trail across from home  - stop by house before accessing creek,,,,,,,,,,,,,,,,,,,,,,
,14,Mackey Creek below Hwy 70,35.669703,82.113292,,Contact Jim Greenlee (jkgreenlee@gmail.com/404-408-7448/404-634-7189 before accessing ,,,,,,,,,,,,,,,,,,,,,,
,15,Tom's Creek (upper),35.744982,82.060315,,Access off either side of bridge,,,,,,,,,,,,,,,,,,,,,,
,16,Tom's Creek (lower),35.708024,82.039595,,Cross Catawba river and wade upstream,,,,,,,,,,,,,,,,,,,,,,
,17,Linville River off Newland Hwy,36.07135,81.8759,,,,,,,,,,,,,,,,,,,,,,,,
,18,Mill Timber Creek,36.02172,81.91989,,,,,,,,,,,,,,,,,,,,,,,,
,19,Linville - Hwy 221 near Pineola,35.99957,81.93827,,,,,,,,,,,,,,,,,,,,,,,,
,20,Buck Creek above Hwy 70,35.693145,82.058364,,Get homeowner permission,,,,,,,,,,,,,,,,,,,,,,
,21,Armstrong Creek above Hwy 221,35.795556,82.035527,,Access from north end of 221 bridge,,,,,,,,,,,,,,,,,,,,,,
,28,Dale Creek @ LJ28,35.76023,81.95015,,,,,,,,,,,,,,,,,,,,,,,,
,20230917,Linville River in National Forest,35.809,-81.903,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake James Environmental Association - Stream Assessments,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total Scores,,,,Habitat Scores,,,,,,,,Bank Stability,,,Riparian Buffer,,BEHI Scores,,,,,,,
,Data Entry,Observation Date,Observation Site,Habitat Score,BEHI Score,Buffer Quality,Buffer Width,Habitat Observer(s),Channel Modification,Instream Habitat,Bottom Substrate,Pool Variety,,,Riffle Habitats,Erosion,Vegetation,Light Penetration,Left Bank,Right Bank,BEHI Observer,Bank Heights,Root Depth,Root Density,Bank Angle,Surface Protection,Bank Material,Stratification
,Taylor,20180127,Paddy's Creek,90,19,high,>20m,Penrose,5,20,15,8,,,10,6,6,10,5,5,Taylor,8,3,5,3,3,-5,2
,Taylor,20180127,White Creek,81,35,high,>20m,Penrose,5,12,11,7,,,16,6,6,10,4,4,Taylor,8,4,8,2,6,5,2
,Taylor,20180127,Linville River @ Griffin Cottage,87,0,medium,varies,Penrose,4,20,14,6,,,16,7,5,8,2,5,,,,,,,,
,Taylor,20180127,North Fork Catawba @ Cannon Bridge,72,21,low,fair-poor,Bell/Taylor,3,18,12,6,,,14,3,5,7,2,2,Taylor,6,3,8,1,8,-5,0
