Name,Fall 2018,Summer 2019,Summer 2020,Winter 2021,Summer 2022,Summer 2023,Summer 2024,Summer 2025
White Creek - Above Route 126,1.82,,3.34,3.69,2.50,3.24,3.33,3.53
"Paddy's Creek - OMV Trail",3.08,,3.60,2.90,3.05,,2.67,3.41
North Fork Catawba River - American Thread Rd,3.27,,4.56,4.58,4.29,,,4.44
North Fork Catawba River - North Cove School Rd,3.10,,2.89,3.49,3.97,,,2.65
"Catawba River - Parker Padgett Rd",2.56,,4.41,,,2.92,,
Mill Creek - Old Fort,2.60,2.72,3.76,3.16,3.60,,3.16,2.98
Crooked Creek - McHone Dr,3.95,3.71,3.62,3.46,3.96,,,2.93
Linville River - Newland Highway,2.13,2.92,3.03,,2.47,3.26,,
"Linville River - Blue Ridge Picnic Area",3.34,3.45,3.29,,3.10,3.16,,
"Armstrong Creek - Hwy 221",1.50,,4.05,3.72,3.59,4.05,,3.07
Forsyth Creek - Plantation Drive,,,,,4.61,4.08,,3.98
Mackey Creek - Burnette Rd,,3.08,2.77,,,3.07,,2.59
Dale's Creek - Lake James Road,,,,,,,,2.70
"Crooked Creek - Bat Cave Road",,3.92,2.84,,,4.95,4.69,4.01
Catawba River - Old Fort Ball Park,,,2.62,,,3.33,3.42,2.21
Mill Creek - Andrew's Geyser,,2.81,2.80,,,2.10,,2.03
"Curtis Creek - Curtis Creek Rd",,2.31,3.48,,,2.33,,3.56
Buck Creek - Greenlee Park,,,5.09,3.44,,4.24,,
"Linville River - Griffin Cottage",,,4.82,3.09,,,,3.08
